InternalName;IDnumber;Name;Description;TotalPP;BasePower;Priority;DamageCategory;FunctionCode;Flags;Accuracy;Type;AdditionalEffectChance;Target
MEGAHORN;1;Megahorn;Using its tough and impressive horn, the user rams into the target with no letup.;10;120;0;Physical;000;abef;85;BUG;0;00
ATTACKORDER;2;Attack Order;The user calls out its underlings to pummel the target. Critical hits land more easily.;15;90;0;Physical;000;befh;100;BUG;0;00
BUGBUZZ;3;Bug Buzz;The user vibrates its wings to generate a damaging sound wave. It may also lower the target's Sp. Def stat.;10;90;0;Special;046;befk;100;BUG;10;00
XSCISSOR;4;X-Scissor;The user slashes at the foe by crossing its scythes or claws as if they were a pair of scissors.;15;80;0;Physical;000;abef;100;BUG;0;00
SIGNALBEAM;5;Signal Beam;The user attacks with a sinister beam of light. It may also confuse the target.;15;75;0;Special;013;bef;100;BUG;10;00
UTURN;6;U-turn;After making its attack, the user rushes back to switch places with a party Pokemon in waiting.;20;70;0;Physical;0EE;abef;100;BUG;0;00
STEAMROLLER;7;Steamroller;The user crushes its foes by rolling over them. This attack may make the target flinch.;20;65;0;Physical;010;abe;100;BUG;30;00
BUGBITE;8;Bug Bite;The user bites the target. If the target is holding a Berry, the user eats it and gains its effect.;20;60;0;Physical;0F4;abef;100;BUG;0;00
SILVERWIND;9;Silver Wind;The foe is attacked with powdery scales blown by wind. It may also raise all the user's stats.;5;60;0;Special;02D;bef;100;BUG;10;00
STRUGGLEBUG;10;Struggle Bug;While resisting, the user attacks the opposing Pokemon. The targets' Sp. Atk stat is reduced.;20;30;0;Special;045;bef;100;BUG;100;04
TWINEEDLE;11;Twineedle;The foe is stabbed twice by a pair of stingers. It may also poison the target.;20;25;0;Physical;0BE;bef;100;BUG;20;00
FURYCUTTER;12;Fury Cutter;The target is slashed with scythes or claws. Its power increases if it hits in succession.;20;20;0;Physical;091;abef;95;BUG;0;00
LEECHLIFE;13;Leech Life;The user drains the target's blood. The user's HP is restored by half the damage taken by the target.;15;20;0;Physical;0DD;abef;100;BUG;0;00
PINMISSILE;14;Pin Missile;Sharp spikes are shot at the target in rapid succession. They hit two to five times in a row.;20;14;0;Physical;0C0;bef;85;BUG;0;00
DEFENDORDER;15;Defend Order;The user calls out its underlings to shield its body, raising its Defense and Sp. Def stats.;10;0;0;Status;02A;d;0;BUG;0;10
HEALORDER;16;Heal Order;The user calls out its underlings to heal it. The user regains up to half of its max HP.;10;0;0;Status;0D5;d;0;BUG;0;10
QUIVERDANCE;17;Quiver Dance;The user performs a beautiful dance. It boosts the user's Sp. Atk, Sp. Def, and Speed stats.;20;0;0;Status;02B;d;0;BUG;0;10
RAGEPOWDER;18;Rage Powder;The user scatters irritating powder to draw attention to itself. Opponents aim only at the user.;20;0;3;Status;117;l;0;BUG;0;10
SPIDERWEB;19;Spider Web;The user ensnares the target with thin, gooey silk so it can't flee from battle.;10;0;0;Status;0EF;bce;0;BUG;0;00
STRINGSHOT;20;String Shot;The foe is bound with silk blown from the user's mouth. This silk reduces the target's Speed.;40;0;0;Status;04D;bce;95;BUG;0;04
