Pokedex ID;Image ID;Species;Form;HP;Att;Def;SpAtt;SpDef;Speed
1;1;Bulbasaur;;45;49;49;65;65;45
2;2;Ivysaur;;60;62;63;80;80;60
3;3;Venusaur;;80;82;83;100;100;80
4;4;Charmander;;39;52;43;60;50;65
5;5;Charmeleon;;58;64;58;80;65;80
6;6;Charizard;;78;84;78;109;85;100
7;7;Squirtle;;44;48;65;50;64;43
8;8;Wartortle;;59;63;80;65;80;58
9;9;Blastoise;;79;83;100;85;105;78
10;10;Caterpie;;45;30;35;20;20;45
11;11;Metapod;;50;20;55;25;25;30
12;12;Butterfree;;60;45;50;90;80;70
13;13;Weedle;;40;35;30;20;20;50
14;14;Kakuna;;45;25;50;25;25;35
15;15;Beedrill;;65;90;40;45;80;75
16;16;Pidgey;;40;45;40;35;35;56
17;17;Pidgeotto;;63;60;55;50;50;71
18;18;Pidgeot;;83;80;75;70;70;101
19;19;Rattata;;30;56;35;25;35;72
20;20;Raticate;;55;81;60;50;70;97
21;21;Spearow;;40;60;30;31;31;70
22;22;Fearow;;65;90;65;61;61;100
23;23;Ekans;;35;60;44;40;54;55
24;24;Arbok;;60;95;69;65;79;80
25;25;Pikachu;;35;55;40;50;50;90
26;26;Raichu;;60;90;55;90;80;110
27;27;Sandshrew;;50;75;85;20;30;40
28;28;Sandslash;;75;100;110;45;55;65
29;29;Nidoran F;;55;47;52;40;40;41
30;30;Nidorina;;70;62;67;55;55;56
31;31;Nidoqueen;;90;92;87;75;85;76
32;32;Nidoran M;;46;57;40;40;40;50
33;33;Nidorino;;61;72;57;55;55;65
34;34;Nidoking;;81;102;77;85;75;85
35;35;Clefairy;;70;45;48;60;65;35
36;36;Clefable;;95;70;73;95;90;60
37;37;Vulpix;;38;41;40;50;65;65
38;38;Ninetales;;73;76;75;81;100;100
39;39;Jigglypuff;;115;45;20;45;25;20
40;40;Wigglytuff;;140;70;45;85;50;45
41;41;Zubat;;40;45;35;30;40;55
42;42;Golbat;;75;80;70;65;75;90
43;43;Oddish;;45;50;55;75;65;30
44;44;Gloom;;60;65;70;85;75;40
45;45;Vileplume;;75;80;85;110;90;50
46;46;Paras;;35;70;55;45;55;25
47;47;Parasect;;60;95;80;60;80;30
48;48;Venonat;;60;55;50;40;55;45
49;49;Venomoth;;70;65;60;90;75;90
50;50;Diglett;;10;55;25;35;45;95
51;51;Dugtrio;;35;100;50;50;70;120
52;52;Meowth;;40;45;35;40;40;90
53;53;Persian;;65;70;60;65;65;115
54;54;Psyduck;;50;52;48;65;50;55
55;55;Golduck;;80;82;78;95;80;85
56;56;Mankey;;40;80;35;35;45;70
57;57;Primeape;;65;105;60;60;70;95
58;58;Growlithe;;55;70;45;70;50;60
59;59;Arcanine;;90;110;80;100;80;95
60;60;Poliwag;;40;50;40;40;40;90
61;61;Poliwhirl;;65;65;65;50;50;90
62;62;Poliwrath;;90;95;95;70;90;70
63;63;Abra;;25;20;15;105;55;90
64;64;Kadabra;;40;35;30;120;70;105
65;65;Alakazam;;55;50;45;135;95;120
66;66;Machop;;70;80;50;35;35;35
67;67;Machoke;;80;100;70;50;60;45
68;68;Machamp;;90;130;80;65;85;55
69;69;Bellsprout;;50;75;35;70;30;40
70;70;Weepinbell;;65;90;50;85;45;55
71;71;Victreebel;;80;105;65;100;70;70
72;72;Tentacool;;40;40;35;50;100;70
73;73;Tentacruel;;80;70;65;80;120;100
74;74;Geodude;;40;80;100;30;30;20
75;75;Graveler;;55;95;115;45;45;35
76;76;Golem;;80;120;130;55;65;45
77;77;Ponyta;;50;85;55;65;65;90
78;78;Rapidash;;65;100;70;80;80;105
79;79;Slowpoke;;90;65;65;40;40;15
80;80;Slowbro;;95;75;110;100;80;30
81;81;Magnemite;;25;35;70;95;55;45
82;82;Magneton;;50;60;95;120;70;70
83;83;Farfetch'd;;52;90;55;58;62;60
84;84;Doduo;;35;85;45;35;35;75
85;85;Dodrio;;60;110;70;60;60;110
86;86;Seel;;65;45;55;45;70;45
87;87;Dewgong;;90;70;80;70;95;70
88;88;Grimer;;80;80;50;40;50;25
89;89;Muk;;105;105;75;65;100;50
90;90;Shellder;;30;65;100;45;25;40
91;91;Cloyster;;50;95;180;85;45;70
92;92;Gastly;;30;35;30;100;35;80
93;93;Haunter;;45;50;45;115;55;95
94;94;Gengar;;60;65;60;130;75;110
95;95;Onix;;35;45;160;30;45;70
96;96;Drowzee;;60;48;45;43;90;42
97;97;Hypno;;85;73;70;73;115;67
98;98;Krabby;;30;105;90;25;25;50
99;99;Kingler;;55;130;115;50;50;75
100;100;Voltorb;;40;30;50;55;55;100
101;101;Electrode;;60;50;70;80;80;150
102;102;Exeggcute;;60;40;80;60;45;40
103;103;Exeggutor;;95;95;85;125;75;55
104;104;Cubone;;50;50;95;40;50;35
105;105;Marowak;;60;80;110;50;80;45
106;106;Hitmonlee;;50;120;53;35;110;87
107;107;Hitmonchan;;50;105;79;35;110;76
108;108;Lickitung;;90;55;75;60;75;30
109;109;Koffing;;40;65;95;60;45;35
110;110;Weezing;;65;90;120;85;70;60
111;111;Rhyhorn;;80;85;95;30;30;25
112;112;Rhydon;;105;130;120;45;45;40
113;113;Chansey;;250;5;5;35;105;50
114;114;Tangela;;65;55;115;100;40;60
115;115;Kangaskhan;;105;95;80;40;80;90
