InternalName;FormName;BattlerEnemyY;EggMoves;id;Name;GrowthRate;Rareness;HiddenAbility;EffortPoints;RegionalNumbers;WildItemUncommon;Compatibility;Kind;BattlerAltitude;StepsToHatch;BattlerPlayerY;Incense;GenderRate;Evolutions;Pokedex;BaseEXP;WildItemCommon;Abilities;Habitat;Weight;Color;BaseStats;Height;Shape;Moves;Type1;WildItemRare;Happiness;Type2
BULBASAUR;;27;AMNESIA,CHARM,CURSE,ENDURE,GIGADRAIN,GRASSWHISTLE,INGRAIN,LEAFSTORM,MAGICALLEAF,NATUREPOWER,PETALDANCE,POWERWHIP,SKULLBASH,SLUDGE;1;Bulbasaur;Parabolic;45;CHLOROPHYLL;0,0,0,0,1,0;1,231;;Monster,Grass;Seed;0;5355;0;;0.125;IVYSAUR,Level,16;Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger.;64;;OVERGROW;Grassland;6.9;Green;45,49,49,45,65,65;0.7;8;1,TACKLE,3,GROWL,7,LEECHSEED,9,VINEWHIP,13,POISONPOWDER,13,SLEEPPOWDER,15,TAKEDOWN,19,RAZORLEAF,21,SWEETSCENT,25,GROWTH,27,DOUBLEEDGE,31,WORRYSEED,33,SYNTHESIS,37,SEEDBOMB;GRASS;;70;POISON
IVYSAUR;;23;;2;Ivysaur;Parabolic;45;CHLOROPHYLL;0,0,0,0,1,1;2,232;;Monster,Grass;Seed;0;5355;0;;0.125;VENUSAUR,Level,32;To support its bulb, Ivysaur's legs grow sturdy. If it spends more time lying in the sunlight, the bud will soon bloom into a large flower.;142;;OVERGROW;Grassland;13.0;Green;60,62,63,60,80,80;1.0;8;1,TACKLE,1,GROWL,1,LEECHSEED,3,GROWL,7,LEECHSEED,9,VINEWHIP,13,POISONPOWDER,13,SLEEPPOWDER,15,TAKEDOWN,20,RAZORLEAF,23,SWEETSCENT,28,GROWTH,31,DOUBLEEDGE,36,WORRYSEED,39,SYNTHESIS,44,SOLARBEAM;GRASS;;70;POISON
VENUSAUR;;14;;3;Venusaur;Parabolic;45;CHLOROPHYLL;0,0,0,0,2,1;3,233;;Monster,Grass;Seed;0;5355;0;;0.125;;Venusaur's flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower's aroma soothes the emotions of people.;236;;OVERGROW;Grassland;100.0;Green;80,82,83,80,100,100;2.0;8;1,TACKLE,1,GROWL,1,LEECHSEED,1,VINEWHIP,3,GROWL,7,LEECHSEED,9,VINEWHIP,13,POISONPOWDER,13,SLEEPPOWDER,15,TAKEDOWN,20,RAZORLEAF,23,SWEETSCENT,28,GROWTH,31,DOUBLEEDGE,32,PETALDANCE,39,WORRYSEED,45,SYNTHESIS,53,SOLARBEAM;GRASS;;70;POISON
CHARMANDER;;23;ANCIENTPOWER,BEATUP,BELLYDRUM,BITE,COUNTER,CRUNCH,DRAGONDANCE,DRAGONPULSE,DRAGONRUSH,FLAREBLITZ,FOCUSPUNCH,METALCLAW,OUTRAGE;4;Charmander;Parabolic;45;SOLARPOWER;0,0,0,1,0,0;4,234;;Monster,Dragon;Lizard;0;5355;0;;0.125;CHARMELEON,Level,16;The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is happy, and blazes when it is enraged.;62;;BLAZE;Mountain;8.5;Red;39,52,43,65,60,50;0.6;6;1,SCRATCH,1,GROWL,7,EMBER,10,SMOKESCREEN,16,DRAGONRAGE,19,SCARYFACE,25,FIREFANG,28,FLAMEBURST,34,SLASH,37,FLAMETHROWER,43,FIRESPIN,46,INFERNO;FIRE;;70;
CHARMELEON;;19;;5;Charmeleon;Parabolic;45;SOLARPOWER;0,0,0,1,1,0;5,235;;Monster,Dragon;Flame;0;5355;0;;0.125;CHARIZARD,Level,36;Without pity, its sharp claws destroy foes. If it encounters a strong enemy, it becomes agitated, and the flame on its tail flares with a bluish white color.;142;;BLAZE;Mountain;19.0;Red;58,64,58,80,80,65;1.1;6;1,SCRATCH,1,GROWL,1,EMBER,7,EMBER,10,SMOKESCREEN,17,DRAGONRAGE,21,SCARYFACE,28,FIREFANG,32,FLAMEBURST,39,SLASH,43,FLAMETHROWER,50,FIRESPIN,54,INFERNO;FIRE;;70;
CHARIZARD;;4;;6;Charizard;Parabolic;45;SOLARPOWER;0,0,0,0,3,0;6,236;;Monster,Dragon;Flame;0;5355;0;;0.125;;A Charizard flies about in search of strong opponents. It breathes intense flames that can melt any material. However, it will never torch a weaker foe.;240;;BLAZE;Mountain;90.5;Red;78,84,78,100,109,85;1.7;6;1,AIRSLASH,1,DRAGONCLAW,1,SHADOWCLAW,1,SCRATCH,1,GROWL,1,EMBER,1,SMOKESCREEN,7,EMBER,10,SMOKESCREEN,17,DRAGONRAGE,21,SCARYFACE,28,FIREFANG,32,FLAMEBURST,36,WINGATTACK,41,SLASH,47,FLAMETHROWER,56,FIRESPIN,62,INFERNO,71,HEATWAVE,77,FLAREBLITZ;FIRE;;70;FLYING
SQUIRTLE;;23;AQUAJET,AQUARING,BRINE,FAKEOUT,FLAIL,FORESIGHT,HAZE,MIRRORCOAT,MIST,MUDSPORT,MUDDYWATER,REFRESH,WATERSPOUT,YAWN;7;Squirtle;Parabolic;45;RAINDISH;0,0,1,0,0,0;7,237;;Monster,Water1;Tiny Turtle;0;5355;0;;0.125;WARTORTLE,Level,16;Its shell is not just for protection. Its rounded shape and the grooves on its surface minimize resistance in water, enabling Squirtle to swim at high speeds.;63;;TORRENT;WatersEdge;9.0;Blue;44,48,65,43,50,64;0.5;6;1,TACKLE,4,TAILWHIP,7,BUBBLE,10,WITHDRAW,13,WATERGUN,16,BITE,19,RAPIDSPIN,22,PROTECT,25,WATERPULSE,28,AQUATAIL,31,SKULLBASH,34,IRONDEFENSE,37,RAINDANCE,40,HYDROPUMP;WATER;;70;
WARTORTLE;;17;;8;Wartortle;Parabolic;45;RAINDISH;0,0,1,0,0,1;8,238;;Monster,Water1;Turtle;0;5355;0;;0.125;BLASTOISE,Level,36;Its large tail is covered with rich, thick fur that deepens in color with age. The scratches on its shell are evidence of this Pokemon's toughness in battle.;142;;TORRENT;WatersEdge;22.5;Blue;59,63,80,58,65,80;1.0;6;1,TACKLE,1,TAILWHIP,1,BUBBLE,4,TAILWHIP,7,BUBBLE,10,WITHDRAW,13,WATERGUN,16,BITE,20,RAPIDSPIN,24,PROTECT,28,WATERPULSE,32,AQUATAIL,36,SKULLBASH,40,IRONDEFENSE,44,RAINDANCE,48,HYDROPUMP;WATER;;70;
BLASTOISE;;13;;9;Blastoise;Parabolic;45;RAINDISH;0,0,0,0,0,3;9,239;;Monster,Water1;Shellfish;0;5355;0;;0.125;;The waterspouts that protrude from its shell are highly accurate. Their bullets of water can precisely nail tin cans from a distance of over 160 feet.;239;;TORRENT;WatersEdge;85.5;Blue;79,83,100,78,85,105;1.6;6;1,FLASHCANNON,1,TACKLE,1,TAILWHIP,1,BUBBLE,1,WITHDRAW,4,TAILWHIP,7,BUBBLE,10,WITHDRAW,13,WATERGUN,16,BITE,20,RAPIDSPIN,24,PROTECT,28,WATERPULSE,32,AQUATAIL,39,SKULLBASH,46,IRONDEFENSE,53,RAINDANCE,60,HYDROPUMP;WATER;;70;
CATERPIE;;27;;10;Caterpie;Medium;255;RUNAWAY;1,0,0,0,0,0;10,24;;Bug;Worm;0;4080;0;;0.5;METAPOD,Level,7;Its voracious appetite compels it to devour leaves bigger than itself without hesitation. It releases a terribly strong odor from its antennae.;39;;SHIELDDUST;Forest;2.9;Green;45,30,35,45,20,20;0.3;14;1,TACKLE,1,STRINGSHOT,15,BUGBITE;BUG;;70;
