InternalName;Name;Weaknesses;Immunities;Resistances;IsSpecialType
NORMAL;Normal;FIGHTING;GHOST;;False
FIGHTING;Fighting;FLYING,PSYCHIC;;ROCK,BUG,DARK;False
FLYING;Flying;ROCK,ELECTRIC,ICE;GROUND;FIGHTING,BUG,GRASS;False
POISON;Poison;GROUND,PSYCHIC;;FIGHTING,POISON,BUG,GRASS;False
GROUND;Ground;WATER,GRASS,ICE;ELECTRIC;POISON,ROCK;False
ROCK;Rock;FIGHTING,GROUND,STEEL,WATER,GRASS;;NORMAL,FLYING,POISON,FIRE;False
BUG;Bug;FLYING,ROCK,FIRE;;FIGHTING,GROUND,GRASS;False
GHOST;Ghost;GHOST,DARK;NORMAL,FIGHTING;POISON,BUG;False
STEEL;Steel;FIGHTING,GROUND,FIRE;POISON;NORMAL,FLYING,ROCK,BUG,GHOST,STEEL,GRASS,PSYCHIC,ICE,DRAGON,DARK;False
FIRE;Fire;GROUND,ROCK,WATER;;BUG,STEEL,FIRE,GRASS,ICE;True
WATER;Water;GRASS,ELECTRIC;;STEEL,FIRE,WATER,ICE;True
GRASS;Grass;FLYING,POISON,BUG,FIRE,ICE;;GROUND,WATER,GRASS,ELECTRIC;True
ELECTRIC;Electric;GROUND;;FLYING,STEEL,ELECTRIC;True
PSYCHIC;Psychic;BUG,GHOST,DARK;;FIGHTING,PSYCHIC;True
ICE;Ice;FIGHTING,ROCK,STEEL,FIRE;;ICE;True
DRAGON;Dragon;ICE,DRAGON;;FIRE,WATER,GRASS,ELECTRIC;True
DARK;Dark;FIGHTING,BUG;PSYCHIC;GHOST,DARK;True
