Name;InternalName;Weaknesses;Immunities;Resistances;IsSpecialType
Normal;NORMAL;FIGHTING;GHOST;;False
Fighting;FIGHTING;FLYING,PSYCHIC;;ROCK,BUG,DARK;False
Flying;FLYING;ROCK,ELECTRIC,ICE;GROUND;FIGHTING,BUG,GRASS;False
Poison;POISON;GROUND,PSYCHIC;;FIGHTING,POISON,BUG,GRASS;False
Ground;GROUND;WATER,GRASS,ICE;ELECTRIC;POISON,ROCK;False
Rock;ROCK;FIGHTING,GROUND,STEEL,WATER,GRASS;;NORMAL,FLYING,POISON,FIRE;False
Bug;BUG;FLYING,ROCK,FIRE;;FIGHTING,GROUND,GRASS;False
Ghost;GHOST;GHOST,DARK;NORMAL,FIGHTING;POISON,BUG;False
Steel;STEEL;FIGHTING,GROUND,FIRE;POISON;NORMAL,FLYING,ROCK,BUG,GHOST,STEEL,GRASS,PSYCHIC,ICE,DRAGON,DARK;False
Fire;FIRE;GROUND,ROCK,WATER;;BUG,STEEL,FIRE,GRASS,ICE;True
Water;WATER;GRASS,ELECTRIC;;STEEL,FIRE,WATER,ICE;True
Grass;GRASS;FLYING,POISON,BUG,FIRE,ICE;;GROUND,WATER,GRASS,ELECTRIC;True
Electric;ELECTRIC;GROUND;;FLYING,STEEL,ELECTRIC;True
Psychic;PSYCHIC;BUG,GHOST,DARK;;FIGHTING,PSYCHIC;True
Ice;ICE;FIGHTING,ROCK,STEEL,FIRE;;ICE;True
Dragon;DRAGON;ICE,DRAGON;;FIRE,WATER,GRASS,ELECTRIC;True
Dark;DARK;FIGHTING,BUG;PSYCHIC;GHOST,DARK;True
