InternalName;ID;InternalName;Name;Category;Price;Description;Uknown1;Uknown2;Uknown3;Move
REPEL;1;Repel;Repels;1;350;An item that prevents weak wild Pokémon from appearing for 100 steps after its use.;2;0;0;
SUPERREPEL;2;Super Repel;Super Repels;1;500;An item that prevents weak wild Pokémon from appearing for 200 steps after its use.;2;0;0;
MAXREPEL;3;Max Repel;Max Repels;1;700;An item that prevents weak wild Pokémon from appearing for 250 steps after its use.;2;0;0;
BLACKFLUTE;4;Black Flute;Black Flutes;1;400;A black flute made from blown glass. Its melody makes wild Pokémon less likely to appear.;2;0;0;
WHITEFLUTE;5;White Flute;White Flutes;1;500;A white flute made from blown glass. Its melody makes wild Pokémon more likely to appear.;2;0;0;
HONEY;6;Honey;Honey;1;100;A sweet honey with an aroma that attracts wild Pokémon when used in grass, caves or on special trees.;2;0;0;
ESCAPEROPE;7;Escape Rope;Escape Ropes;1;550;A long, durable rope. Use it to escape instantly from a cave or a dungeon.;2;0;0;
REDSHARD;8;Red Shard;Red Shards;1;200;A small red shard. It appears to be from some sort of implement made long ago.;0;0;0;
YELLOWSHARD;9;Yellow Shard;Yellow Shards;1;200;A small yellow shard. It appears to be from some sort of implement made long ago.;0;0;0;
BLUESHARD;10;Blue Shard;Blue Shards;1;200;A small blue shard. It appears to be from some sort of implement made long ago.;0;0;0;
GREENSHARD;11;Green Shard;Green Shards;1;200;A small green shard. It appears to be from some sort of implement made long ago.;0;0;0;
FIRESTONE;12;Fire Stone;Fire Stones;1;2100;A peculiar stone that makes certain species of Pokémon evolve. It is colored orange.;1;0;7;
THUNDERSTONE;13;Thunder Stone;Thunder Stones;1;2100;A peculiar stone that makes certain species of Pokémon evolve. It has a thunderbolt pattern.;1;0;7;
WATERSTONE;14;Water Stone;Water Stones;1;2100;A peculiar stone that makes certain species of Pokémon evolve. It is a clear, light blue.;1;0;7;
LEAFSTONE;15;Leaf Stone;Leaf Stones;1;2100;A peculiar stone that makes certain species of Pokémon evolve. It has a leaf pattern.;1;0;7;
MOONSTONE;16;Moon Stone;Moon Stones;1;2100;A peculiar stone that makes certain species of Pokémon evolve. It is as black as the night sky.;1;0;7;
SUNSTONE;17;Sun Stone;Sun Stones;1;2100;A peculiar stone that makes certain species of Pokémon evolve. It is as red as the sun.;1;0;7;
DUSKSTONE;18;Dusk Stone;Dusk Stones;1;2100;A peculiar stone that makes certain species of Pokémon evolve. It is as dark as dark can be.;1;0;7;
DAWNSTONE;19;Dawn Stone;Dawn Stones;1;2100;A peculiar stone that makes certain species of Pokémon evolve. It sparkles like eyes.;1;0;7;
SHINYSTONE;20;Shiny Stone;Shiny Stones;1;2100;A peculiar stone that makes certain species of Pokémon evolve. It shines with a dazzling light.;1;0;7;
REDAPRICORN;21;Red Apricorn;Red Apricorns;1;200;A red Apricorn. It assails your nostrils.;0;0;9;
YLWAPRICORN;22;Ylw Apricorn;Ylw Apricorns;1;200;A yellow Apricorn. It has an invigorating scent.;0;0;9;
BLUAPRICORN;23;Blu Apricorn;Blu Apricorns;1;200;A blue Apricorn. It smells a bit like grass.;0;0;9;
GRNAPRICORN;24;Grn Apricorn;Grn Apricorns;1;200;A green Apricorn. It has a mysterious, aromatic scent.;0;0;9;
PNKAPRICORN;25;Pnk Apricorn;Pnk Apricorns;1;200;A pink Apricorn. It has a nice, sweet scent.;0;0;9;
WHTAPRICORN;26;Wht Apricorn;Wht Apricorns;1;200;A white Apricorn. It doesn't smell like anything.;0;0;9;
BLKAPRICORN;27;Blk Apricorn;Blk Apricorns;1;200;A black Apricorn. It has an indescribable scent.;0;0;9;
HELIXFOSSIL;28;Helix Fossil;Helix Fossils;1;1000;A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a seashell.;0;0;8;
DOMEFOSSIL;29;Dome Fossil;Dome Fossils;1;1000;A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a shell.;0;0;8;
OLDAMBER;30;Old Amber;Old Ambers;1;1000;A piece of amber that contains the genes of an ancient Pokémon. It is clear with a reddish tint.;0;0;8;
ROOTFOSSIL;31;Root Fossil;Root Fossils;1;1000;A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a plant root.;0;0;8;
CLAWFOSSIL;32;Claw Fossil;Claw Fossils;1;1000;A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a claw.;0;0;8;
SKULLFOSSIL;33;Skull Fossil;Skull Fossils;1;1000;A fossil from a prehistoric Pokémon that lived on the land. It appears to be part of a head.;0;0;8;
ARMORFOSSIL;34;Armor Fossil;Armor Fossils;1;1000;A fossil from a prehistoric Pokémon that lived on the land. It appears to be part of a collar.;0;0;8;
COVERFOSSIL;35;Cover Fossil;Cover Fossils;1;1000;A fossil of an ancient Pokémon that lived in the sea in ancient times. It appears to be part of its back.;0;0;8;
PLUMEFOSSIL;36;Plume Fossil;Plume Fossils;1;1000;A fossil of an ancient Pokémon that flew in the sky in ancient times. It appears to be part of its wing.;0;0;8;
PRETTYWING;37;Pretty Wing;Pretty Wings;1;200;Though this feather is beautiful, it's just a regular feather and has no effect on Pokémon.;0;0;0;
TINYMUSHROOM;38;Tiny Mushroom;Tiny Mushrooms;1;500;A small and rare mushroom. It is sought after by collectors.;0;0;0;
BIGMUSHROOM;39;Big Mushroom;Big Mushrooms;1;5000;A large and rare mushroom. It is sought after by collectors.;0;0;0;
BALMMUSHROOM;40;Balm Mushroom;Balm Mushrooms;1;50000;A rare mushroom which gives off a nice fragrance. A maniac will buy it for a high price.;0;0;0;
PEARL;41;Pearl;Pearls;1;1400;A somewhat-small pearl that sparkles in a pretty silver color. It can be sold cheaply to shops.;0;0;0;
BIGPEARL;42;Big Pearl;Big Pearls;1;7500;A quite-large pearl that sparkles in a pretty silver color. It can be sold at a high price to shops.;0;0;0;
PEARLSTRING;43;Pearl String;Pearl Strings;1;50000;Very large pearls that sparkle in a pretty silver color. A maniac will buy them for a high price.;0;0;0;
STARDUST;44;Stardust;Stardusts;1;2000;Lovely, red-colored sand with a loose, silky feel. It can be sold at a high price to shops.;0;0;0;
